"size";"compares";"swaps";"time"
100;646;383;0,0
200;1573;917;0,2
300;2576;1487;0,3
400;3659;2073;0,3
500;4832;2739;0,3
600;5998;3367;0,4
700;7186;4046;0,6
800;8408;4710;0,3
900;9567;5360;0,10
1000;10854;6153;0,9
1100;12289;6859;0,9
1200;13644;7613;0,11
1300;14933;8366;0,13
1400;16413;9007;0,15
1500;17684;9857;0,13
1600;19189;10714;0,13
1700;20385;11319;0,17
1800;21879;12078;0,14
1900;23137;12748;0,16
2000;24903;13873;0,13
2100;25975;14263;0,18
2200;27597;15248;0,21
2300;29364;16172;0,22
2400;30584;16877;0,23
2500;31984;17666;0,22
2600;33348;18376;0,21
2700;34939;19117;0,26
2800;36477;20328;0,24
2900;37915;20881;0,25
3000;39167;21431;0,26
3100;41040;22675;0,28
3200;42632;23293;0,27
3300;43939;24096;0,28
3400;45670;25233;0,28
3500;47302;26260;0,28
3600;48837;26581;0,31
3700;50608;27629;0,36
3800;52092;28690;0,32
3900;53397;29020;0,35
4000;54530;29875;0,35
4100;56453;30428;0,36
4200;58172;32018;0,37
4300;59208;32579;0,37
4400;61802;33607;0,49
4500;62489;34164;0,45
4600;64247;35050;0,46
4700;65425;35039;0,46
4800;68212;37206;0,44
4900;69118;37475;0,46
5000;70861;38661;0,42
5100;72138;39252;0,46
5200;74270;40118;0,54
5300;76015;42063;0,44
5400;76797;41803;0,46
5500;79413;43182;0,56
5600;80671;43652;0,48
5700;82672;45204;0,54
5800;84452;46086;0,52
5900;85260;46212;0,48
6000;87288;47072;0,53
6100;89257;48442;0,52
6200;90682;49501;0,60
6300;92340;50285;0,64
6400;93313;50759;0,62
6500;95736;52274;0,60
6600;97721;53479;0,66
6700;98615;53612;0,58
6800;100342;53894;0,63
6900;102121;54896;0,63
7000;103741;56393;0,68
7100;106521;57392;0,72
7200;107511;58750;0,68
7300;108369;58861;0,68
7400;109652;59326;0,69
7500;112692;60864;0,67
7600;114231;61769;0,73
7700;116257;62365;0,65
7800;117388;63487;0,78
7900;120164;65484;0,75
8000;121105;65704;0,79
8100;122634;65287;0,69
8200;124099;66786;0,68
8300;126646;68044;0,87
8400;127656;69296;0,69
8500;129065;68919;0,70
8600;130788;70662;0,85
8700;133322;71306;0,85
8800;134301;72600;0,71
8900;135507;73571;0,88
9000;138560;74321;0,91
9100;139372;75951;0,76
9200;142055;76912;0,90
9300;142757;76156;0,87
9400;143642;77555;0,89
9500;146225;78795;0,89
9600;148278;79465;0,91
9700;149546;80591;0,93
9800;152111;82041;0,95
9900;153712;82803;0,93
10000;155472;83677;0,99
