"size";"compares";"swaps";"time"
100;625;355;0,0
200;1484;842;0,0
300;2308;1358;0,10
400;3346;1862;0,10
500;4329;2421;0,0
600;5210;3007;0,0
700;6644;3573;0,0
800;7480;4106;0,10
900;8486;4679;0,0
1000;9633;5314;0,10
1100;10627;5995;0,10
1200;11627;6609;0,0
1300;13824;7309;0,10
1400;14664;7811;0,10
1500;15626;8391;0,10
1600;16557;9011;0,0
1700;17736;9599;0,10
1800;18807;10305;0,10
1900;19818;11007;0,20
2000;21339;11682;0,20
2100;22354;12269;0,10
2200;23358;12959;0,20
2300;24657;13735;0,10
2400;25625;14379;0,20
2500;26856;15184;0,20
2600;30314;15961;0,20
2700;31160;16435;0,30
2800;32130;17009;0,30
2900;33362;17677;0,30
3000;34228;18237;0,40
3100;35277;18901;0,20
3200;36398;19714;0,30
3300;37775;20187;0,30
3400;38909;20946;0,30
3500;39917;21634;0,30
3600;41162;22363;0,20
3700;42367;23147;0,40
3800;43428;23907;0,30
3900;45637;24606;0,40
4000;46582;25247;0,40
4100;47701;25936;0,30
4200;48905;26626;0,40
4300;49926;27333;0,50
4400;51158;28187;0,50
4500;52779;28944;0,40
4600;53848;29676;0,30
4700;55063;30475;0,40
4800;56208;31354;0,50
4900;57533;32098;0,50
5000;58775;32948;0,60
5100;59942;33815;0,40
5200;65872;34469;0,40
5300;66873;35010;0,40
5400;67774;35604;0,50
5500;68919;36193;0,60
5600;69896;36870;0,50
5700;70978;37510;0,60
5800;72540;38246;0,70
5900;73449;38857;0,60
6000;74549;39529;0,70
6100;75837;40297;0,60
6200;76847;40966;0,60
6300;78038;41781;0,60
6400;79122;42567;0,60
6500;81237;43089;0,60
6600;82354;43866;0,60
6700;83324;44536;0,70
6800;84594;45275;0,60
6900;85719;45951;0,60
7000;86846;46799;0,40
7100;88424;47506;0,70
7200;89488;48299;0,60
7300;90723;49052;0,70
7400;92096;49951;0,70
7500;93270;50811;0,60
7600;94575;51711;0,60
7700;98108;52491;0,50
7800;99091;53128;0,40
7900;100074;53689;0,20
8000;101200;54563;0,70
8100;102512;55262;1,0
8200;103513;55893;1,0
8300;104774;56852;1,0
8400;106228;57443;0,40
8500;107474;58242;1,0
8600;108555;59043;0,90
8700;109855;59792;0,90
8800;111079;60739;0,80
8900;112389;61592;0,70
9000;114639;62387;0,90
9100;115709;63118;0,90
9200;116875;63887;0,80
9300;118389;64847;0,90
9400;119456;65616;1,0
9500;120757;66509;0,90
9600;121952;67402;0,90
9700;123653;68237;0,90
9800;124864;69046;0,90
9900;126093;69952;0,90
10000;127493;70842;1,0
