"size";"compares";"swaps";"time"
100;639;409;0,0
200;1516;945;0,1
300;2524;1516;0,3
400;3522;2136;0,4
500;4588;2721;0,5
600;5739;3366;0,6
700;6879;4070;0,7
800;8135;4785;0,5
900;9238;5382;0,6
1000;10510;6112;0,8
1100;11671;6780;0,13
1200;12967;7507;0,11
1300;14217;8226;0,12
1400;15551;9021;0,12
1500;16730;9689;0,15
1600;18054;10455;0,14
1700;19298;11151;0,17
1800;20763;11861;0,16
1900;22171;12750;0,19
2000;23209;13359;0,24
2100;24767;14204;0,19
2200;26155;14802;0,18
2300;27540;15754;0,24
2400;28970;16556;0,24
2500;30313;17238;0,23
2600;31618;18055;0,24
2700;33450;18846;0,21
2800;34585;19529;0,27
2900;36008;20600;0,30
3000;37486;21305;0,28
3100;38975;22087;0,30
3200;40089;22906;0,33
3300;41541;23617;0,31
3400;43185;24612;0,33
3500;44306;25369;0,36
3600;46007;26121;0,34
3700;47561;26782;0,39
3800;48733;27774;0,38
3900;50229;28374;0,38
4000;51973;29296;0,44
4100;53382;30304;0,46
4200;54846;31462;0,44
4300;56243;32207;0,43
4400;58194;32522;0,45
4500;59297;33449;0,45
4600;60719;34486;0,46
4700;62158;35215;0,51
4800;63983;36058;0,51
4900;65040;37159;0,49
5000;66320;37352;0,54
5100;68248;38538;0,52
5200;69842;39483;0,56
5300;71159;40280;0,54
5400;73049;41405;0,49
5500;74058;42058;0,58
5600;76039;42764;0,61
5700;77291;43340;0,58
5800;79119;44317;0,58
5900;80612;45588;0,62
6000;82107;46535;0,60
6100;83480;47030;0,60
6200;85491;48255;0,64
6300;87121;48559;0,72
6400;89176;49343;0,66
6500;90034;51142;0,71
6600;91436;51599;0,69
6700;93415;52488;0,71
6800;94678;53577;0,77
6900;96529;54069;0,75
7000;98257;54756;0,80
7100;99297;55504;0,75
7200;100905;56159;0,88
7300;102499;57560;0,85
7400;104487;58341;0,66
7500;104821;59504;0,82
7600;107441;60637;0,95
7700;108337;60634;0,97
7800;109939;61472;0,85
7900;111856;63120;0,98
8000;113337;63227;0,84
8100;115580;64522;0,88
8200;116718;65331;0,93
8300;118051;66052;0,88
8400;120089;66547;0,89
8500;122039;67557;0,93
8600;122720;68797;0,89
8700;124589;68835;0,93
8800;126634;70175;0,99
8900;128361;70993;1,0
9000;130009;72537;1,3
9100;131674;73173;1,2
9200;133063;73986;0,99
9300;134657;75299;1,4
9400;136263;76614;1,5
9500;137961;77115;1,5
9600;139882;77845;1,5
9700;142089;78980;1,7
9800;143481;79350;1,12
9900;144496;80453;1,9
10000;146586;81676;1,13
