"size";"compares";"swaps";"time"
100;650;392;0,0
200;1560;899;0,1
300;2566;1487;0,2
400;3677;2096;0,3
500;4801;2747;0,3
600;5993;3412;0,5
700;7199;4068;0,5
800;8451;4785;0,7
900;9695;5454;0,6
1000;11031;6142;0,7
1100;12264;6849;0,9
1200;13634;7587;0,8
1300;15009;8365;0,10
1400;16325;9063;0,11
1500;17566;9740;0,9
1600;19080;10568;0,13
1700;20503;11369;0,14
1800;21896;12155;0,17
1900;23357;12905;0,16
2000;24820;13749;0,17
2100;26193;14481;0,17
2200;27475;15155;0,18
2300;29183;15993;0,19
2400;30536;16724;0,20
2500;32019;17723;0,22
2600;33473;18498;0,23
2700;35096;19258;0,24
2800;36492;20175;0,23
2900;37987;20849;0,25
3000;39523;21671;0,26
3100;41050;22636;0,28
3200;42553;23249;0,29
3300;44016;24067;0,29
3400;45698;24995;0,30
3500;47296;25837;0,32
3600;48640;26478;0,33
3700;50360;27520;0,33
3800;51802;28331;0,34
3900;53561;29269;0,36
4000;54892;29914;0,36
4100;56609;30888;0,38
4200;58315;31540;0,38
4300;59486;32496;0,40
4400;61195;33260;0,42
4500;62965;34438;0,42
4600;64395;35030;0,43
4700;66203;36105;0,41
4800;67688;36754;0,45
4900;69024;37577;0,46
5000;71032;38837;0,44
5100;72748;39469;0,46
5200;74061;40446;0,49
5300;75664;41176;0,50
5400;77510;42020;0,53
5500;79182;43100;0,52
5600;80632;43602;0,51
5700;82756;44913;0,55
5800;83987;45494;0,54
5900;85662;46606;0,56
6000;87473;47507;0,58
6100;89177;48237;0,59
6200;90438;49051;0,60
6300;92577;50109;0,59
6400;93868;51085;0,62
6500;95603;51767;0,61
6600;97560;52702;0,63
6700;98851;53616;0,64
6800;100589;54127;0,65
6900;102358;55334;0,72
7000;104166;56676;0,74
7100;105991;57283;0,76
7200;107742;57984;0,74
7300;109142;59158;0,76
7400;110543;59909;0,85
7500;112805;61033;0,69
7600;114238;62247;0,81
7700;115897;62886;0,81
7800;118046;63569;0,86
7900;119182;64300;0,85
8000;121426;65403;0,89
8100;123022;66262;0,87
8200;124679;66721;0,87
8300;126249;68243;0,88
8400;128064;69113;0,91
8500;129526;70101;0,91
8600;131525;70882;0,92
8700;132816;71742;0,93
8800;135270;73184;0,95
8900;136652;73544;0,88
9000;138577;75092;0,91
9100;140023;75227;0,88
9200;141645;76293;0,91
9300;143300;77318;0,92
9400;144872;78196;0,93
9500;146799;78838;0,94
9600;149005;80119;0,96
9700;150429;81143;0,98
9800;152150;81932;0,98
9900;153987;83005;0,98
10000;155951;83887;1,0
