"size";"compares";"swaps";"time"
100;560;700;0,0
200;1324;1600;0,0
300;2214;2700;0,10
400;3040;3600;0,10
500;3857;4500;0,10
600;5026;6000;0,0
700;5858;7000;0,0
800;6888;8000;0,10
900;7826;9000;0,10
1000;8726;10000;0,10
1100;10439;12100;0,10
1200;11265;13200;0,20
1300;12301;14300;0,20
1400;13122;15400;0,20
1500;14105;16500;0,10
1600;15374;17600;0,20
1700;16330;18700;0,30
1800;17456;19800;0,10
1900;18375;20900;0,20
2000;19442;22000;0,20
2100;22242;25200;0,20
2200;23087;26400;0,20
2300;23920;27600;0,30
2400;24928;28800;0,30
2500;25905;30000;0,30
2600;27207;31200;0,20
2700;28136;32400;0,30
2800;29050;33600;0,30
2900;30162;34800;0,30
3000;31195;36000;0,30
3100;33093;37200;0,20
3200;33942;38400;0,30
3300;34968;39600;0,40
3400;36069;40800;0,30
3500;37082;42000;0,40
3600;38527;43200;0,40
3700;39482;44400;0,40
3800;40534;45600;0,30
3900;41725;46800;0,50
4000;42868;48000;0,50
4100;46954;53300;0,50
4200;48744;54600;0,50
4300;49589;55900;0,30
4400;50599;57200;0,40
4500;51553;58500;0,50
4600;52448;59800;0,40
4700;53724;61100;0,40
4800;54660;62400;0,60
4900;55780;63700;0,50
5000;56811;65000;0,60
5100;57812;66300;0,60
5200;59638;67600;0,50
5300;60575;68900;0,70
5400;61678;70200;0,40
5500;62636;71500;0,50
5600;63722;72800;0,60
5700;65125;74100;0,60
5800;66136;75400;0,50
5900;67347;76700;0,60
6000;68392;78000;0,70
6100;69578;79300;0,70
6200;72387;80600;0,80
6300;73387;81900;0,70
6400;74313;83200;0,60
6500;75440;84500;0,60
6600;76530;85800;0,60
6700;77922;87100;0,70
6800;78939;88400;0,70
6900;79974;89700;0,60
7000;81175;91000;0,70
7100;82313;92300;0,90
7200;84308;93600;1,0
7300;85352;94900;1,0
7400;86350;96200;1,0
7500;87566;97500;1,0
7600;88708;98800;0,0
7700;90260;100100;1,0
7800;91283;101400;1,0
7900;92468;102700;0,40
8000;93756;104000;0,70
8100;95005;105300;0,80
8200;102882;114800;0,90
8300;104950;116200;0,90
8400;105869;117600;1,0
8500;106885;119000;1,0
8600;107829;120400;1,0
8700;108748;121800;0,90
8800;110022;123200;0,90
8900;110960;124600;1,0
9000;112102;126000;0,90
9100;113115;127400;1,0
9200;114125;128800;1,10
9300;115972;130200;1,0
9400;116857;131600;1,0
9500;118002;133000;1,10
9600;118936;134400;1,10
9700;120009;135800;1,10
9800;121388;137200;1,0
9900;122446;138600;1,0
10000;123666;140000;1,10
