"size";"compares";"swaps";"time"
100;558;255;0,0
200;1320;608;0,2
300;2214;991;0,2
400;3041;1411;0,2
500;3858;1901;0,3
600;5030;2283;0,5
700;5862;2732;0,5
800;6889;3226;0,4
900;7823;3735;0,8
1000;8719;4301;0,9
1100;10441;4724;0,6
1200;11262;5161;0,10
1300;12306;5662;0,8
1400;13123;6159;0,11
1500;14095;6719;0,12
1600;15379;7248;0,13
1700;16333;7766;0,17
1800;17460;8378;0,15
1900;18369;8945;0,14
2000;19438;9598;0,16
2100;22243;10133;0,16
2200;23087;10548;0,21
2300;23927;11055;0,18
2400;24932;11527;0,22
2500;25908;12072;0,22
2600;27206;12613;0,21
2700;28146;13140;0,22
2800;29052;13722;0,24
2900;30164;14292;0,28
3000;31190;14928;0,27
3100;33107;15575;0,28
3200;33973;16096;0,32
3300;34946;16642;0,31
3400;36065;17222;0,28
3500;37080;17847;0,30
3600;38544;18541;0,29
3700;39478;19139;0,41
3800;40544;19787;0,39
3900;41734;20470;0,34
4000;42876;21204;0,36
4100;47154;21989;0,38
4200;48716;22354;0,35
4300;49606;22817;0,35
4400;50596;23296;0,41
4500;51536;23815;0,40
4600;52459;24422;0,29
4700;53727;24899;0,41
4800;54668;25452;0,40
4900;55800;26021;0,42
5000;56823;26635;0,43
5100;57823;27331;0,46
5200;59632;27839;0,46
5300;60563;28383;0,54
5400;61698;28966;0,48
5500;62625;29568;0,50
5600;63703;30249;0,52
5700;65122;30854;0,58
5800;66136;31473;0,54
5900;67360;32174;0,58
6000;68382;32862;0,60
6100;69555;33617;0,58
6200;72439;34253;0,58
6300;73387;34759;0,61
6400;74336;35375;0,65
6500;75443;35927;0,63
6600;76513;36584;0,61
6700;77908;37224;0,67
6800;78947;37856;0,65
6900;79968;38542;0,66
7000;81164;39200;0,69
7100;82305;39953;0,68
7200;84315;40685;0,73
7300;85355;41303;0,70
7400;86357;41957;0,71
7500;87566;42636;0,74
7600;88694;43381;0,73
7700;90256;44151;0,84
7800;91296;44873;0,76
7900;92465;45615;0,77
8000;93749;46394;0,67
8100;94997;47211;0,69
8200;103394;48081;0,84
8300;104967;48451;0,53
8400;105864;48907;0,78
8500;106869;49401;0,82
8600;107818;49921;0,82
8700;108750;50520;0,82
8800;110011;50994;0,89
8900;110994;51552;0,82
9000;112089;52149;0,86
9100;113128;52754;0,93
9200;114120;53424;0,86
9300;115924;53936;0,90
9400;116856;54474;0,93
9500;117989;55071;0,89
9600;118929;55697;0,92
9700;120015;56341;0,93
9800;121413;56954;0,93
9900;122431;57590;0,96
10000;123649;58279;0,97
