"size";"compares";"swaps";"time"
100;641;413;0,0
200;1522;935;0,0
300;2491;1519;0,2
400;3529;2144;0,3
500;4611;2758;0,3
600;5745;3424;0,5
700;6886;4082;0,6
800;8087;4754;0,7
900;9213;5414;0,7
1000;10469;6088;0,9
1100;11691;6812;0,9
1200;12914;7549;0,11
1300;14206;8221;0,11
1400;15511;8989;0,11
1500;16826;9734;0,14
1600;18048;10450;0,15
1700;19406;11205;0,15
1800;20692;11964;0,17
1900;22099;12731;0,17
2000;23384;13482;0,20
2100;24826;14289;0,21
2200;26138;15027;0,22
2300;27495;15789;0,22
2400;28764;16605;0,24
2500;30383;17295;0,24
2600;31644;18122;0,26
2700;33107;18915;0,27
2800;34436;19711;0,27
2900;35859;20456;0,28
3000;37351;21369;0,30
3100;38778;22082;0,30
3200;40104;22895;0,32
3300;41523;23666;0,34
3400;43009;24383;0,34
3500;44403;25234;0,34
3600;45995;26165;0,35
3700;47256;26896;0,37
3800;48850;27717;0,41
3900;50336;28550;0,42
4000;51759;29426;0,42
4100;53507;30219;0,42
4200;54810;30925;0,45
4300;56167;31972;0,45
4400;57592;32620;0,46
4500;59214;33563;0,46
4600;60812;34403;0,48
4700;62440;35148;0,50
4800;63782;36008;0,51
4900;65287;36862;0,52
5000;66758;37804;0,53
5100;68362;38565;0,55
5200;69844;39305;0,56
5300;71645;40179;0,57
5400;72882;41081;0,59
5500;74422;41918;0,61
5600;75702;42708;0,58
5700;77279;43503;0,62
5800;79241;44542;0,62
5900;80522;45352;0,64
6000;82258;46188;0,64
6100;83573;46791;0,66
6200;85476;47863;0,68
6300;86957;48558;0,68
6400;88470;49635;0,70
6500;90053;50503;0,71
6600;91451;51123;0,72
6700;93075;52354;0,74
6800;94565;53038;0,75
6900;96244;53978;0,78
7000;97836;54552;0,76
7100;99431;55505;0,80
7200;101143;56536;0,84
7300;102561;57396;0,76
7400;104485;58292;0,79
7500;105713;59052;0,87
7600;107238;60067;0,85
7700;108870;61032;0,85
7800;110411;61658;0,87
7900;111879;62695;0,88
8000;113969;63514;0,87
8100;115270;64417;0,92
8200;116898;65423;0,92
8300;118835;65888;0,92
8400;120260;66944;0,96
8500;122048;68036;0,97
8600;123219;68813;0,94
8700;124925;69904;0,97
8800;126738;70763;0,99
8900;128812;71504;1,2
9000;129811;72502;1,1
9100;131553;73315;1,2
9200;133187;74062;1,6
9300;134765;75295;1,5
9400;136549;76010;1,9
9500;138059;76962;1,8
9600;139424;77709;1,11
9700;141493;78567;1,11
9800;142999;79485;1,13
9900;144531;80418;1,12
10000;146078;81434;1,14
