"size";"compares";"swaps";"time"
100;637;367;0,0
200;1473;832;0,0
300;2312;1358;0,1
400;3345;1862;0,2
500;4319;2408;0,3
600;5224;3016;0,4
700;6634;3564;0,5
800;7491;4123;0,5
900;8491;4695;0,6
1000;9646;5319;0,7
1100;10586;5943;0,7
1200;11646;6631;0,8
1300;13826;7315;0,9
1400;14670;7819;0,10
1500;15629;8385;0,11
1600;16587;9046;0,12
1700;17743;9615;0,12
1800;18772;10271;0,14
1900;19828;11015;0,14
2000;21295;11634;0,14
2100;22376;12288;0,17
2200;23371;12982;0,16
2300;24623;13689;0,17
2400;25687;14455;0,20
2500;26881;15221;0,19
2600;30294;15921;0,22
2700;31188;16462;0,21
2800;32146;17036;0,23
2900;33357;17669;0,24
3000;34269;18276;0,23
3100;35322;18937;0,27
3200;36381;19700;0,26
3300;37848;20263;0,28
3400;38904;20943;0,29
3500;39921;21646;0,29
3600;41168;22365;0,28
3700;42341;23108;0,31
3800;43449;23921;0,31
3900;45619;24600;0,33
4000;46586;25257;0,32
4100;47693;25937;0,33
4200;48943;26656;0,35
4300;49979;27373;0,36
4400;51149;28173;0,37
4500;52832;28970;0,40
4600;53863;29689;0,36
4700;55015;30445;0,38
4800;56171;31303;0,40
4900;57518;32066;0,42
5000;58764;32939;0,42
5100;60011;33877;0,43
5200;65868;34457;0,48
5300;66869;34999;0,45
5400;67785;35611;0,48
5500;68943;36216;0,49
5600;69908;36882;0,50
5700;70990;37534;0,50
5800;72519;38220;0,54
5900;73479;38860;0,50
6000;74542;39548;0,53
6100;75845;40270;0,55
6200;76846;40969;0,56
6300;78008;41738;0,54
6400;79161;42592;0,57
6500;81269;43166;0,57
6600;82295;43821;0,58
6700;83355;44561;0,58
6800;84578;45248;0,59
6900;85752;45998;0,61
7000;86855;46804;0,63
7100;88474;47561;0,64
7200;89532;48320;0,64
7300;90729;49088;0,67
7400;92095;49919;0,65
7500;93228;50745;0,67
7600;94489;51628;0,67
7700;98061;52498;0,66
7800;99071;53106;0,68
7900;100128;53764;0,68
8000;101195;54535;0,68
8100;102441;55192;0,71
8200;103582;55961;0,72
8300;104727;56792;0,72
8400;106299;57516;0,73
8500;107468;58257;0,81
8600;108577;59064;0,76
8700;109931;59873;0,78
8800;111096;60742;0,77
8900;112377;61591;0,85
9000;114686;62438;0,68
9100;115758;63177;0,78
9200;116910;63956;0,77
9300;118320;64783;0,81
9400;119443;65601;0,82
9500;120683;66456;0,82
9600;121952;67422;0,89
9700;123626;68196;0,92
9800;124865;69061;0,88
9900;126094;69973;0,91
10000;127540;70890;0,92
