"size";"compares";"swaps";"time"
100;630;365;0,0
200;1538;863;0,0
300;2581;1519;0,10
400;3740;2270;0,0
500;4829;2694;0,0
600;5894;3421;0,0
700;7198;4252;0,0
800;8479;4630;0,10
900;9811;5592;0,10
1000;10821;6222;0,10
1100;12076;6762;0,10
1200;13834;7806;0,20
1300;15229;8363;0,20
1400;16187;8442;0,10
1500;17677;9699;0,20
1600;19515;10586;0,10
1700;20399;11257;0,20
1800;21126;11791;0,20
1900;22711;12747;0,10
2000;24339;13708;0,20
2100;26362;14547;0,20
2200;27311;15498;0,30
2300;28801;15894;0,30
2400;31067;17024;0,30
2500;32958;17614;0,10
2600;33118;18419;0,20
2700;35408;18981;0,20
2800;36136;19482;0,40
2900;39832;21797;0,10
3000;38815;21665;0,20
3100;41734;22864;0,30
3200;42004;23303;0,30
3300;45582;25353;0,30
3400;46056;25168;0,30
3500;47261;26057;0,30
3600;50331;27843;0,50
3700;51947;28589;0,40
3800;51203;29193;0,40
3900;53652;28555;0,30
4000;55208;29895;0,40
4100;56279;30021;0,50
4200;57795;31193;0,50
4300;61359;34024;0,50
4400;61714;33631;0,50
4500;63830;34399;0,40
4600;64386;35694;0,40
4700;67054;35491;0,40
4800;68433;37176;0,40
4900;70544;39551;0,60
5000;70975;38953;0,40
5100;73252;39110;0,60
5200;74803;42109;0,60
5300;76585;41123;0,50
5400;77673;43470;0,70
5500;80176;43501;0,60
5600;83555;45288;0,50
5700;83232;44550;0,50
5800;81168;43505;0,50
5900;85756;47408;0,40
6000;87698;47743;0,40
6100;87246;48185;0,70
6200;89762;48444;0,70
6300;92525;49783;0,60
6400;94087;50683;0,70
6500;96102;53605;0,80
6600;99657;53388;0,60
6700;99206;53233;0,70
6800;99671;52957;0,60
6900;103082;55533;0,60
7000;103370;55226;0,60
7100;106576;58336;0,70
7200;105359;58123;0,70
7300;108684;58160;0,70
7400;111770;58404;0,60
7500;112361;60881;0,70
7600;115575;63469;1,0
7700;117091;60765;1,0
7800;118932;64063;1,0
7900;118586;64526;1,0
8000;119589;63648;0,20
8100;123201;65954;1,0
8200;122863;64992;1,0
8300;125563;67270;1,0
8400;128716;69281;0,80
8500;131103;72813;0,40
8600;131332;72392;0,50
8700;129583;70039;0,80
8800;137011;74485;0,90
8900;134406;72243;1,0
9000;138412;73921;0,90
9100;139651;77297;1,0
9200;141034;77438;1,10
9300;144061;77309;1,0
9400;145749;76983;0,90
9500;149549;83364;1,0
9600;151104;82063;1,0
9700;149734;79761;1,0
9800;151996;83485;0,90
9900;154587;84582;1,0
10000;156799;83486;0,90
