"size";"compares";"swaps";"time"
100;637;368;0,1
200;1472;832;0,1
300;2313;1358;0,2
400;3349;1865;0,3
500;4321;2410;0,1
600;5233;3026;0,4
700;6624;3556;0,5
800;7502;4133;0,3
900;8488;4692;0,6
1000;9644;5315;0,5
1100;10584;5942;0,7
1200;11638;6625;0,9
1300;13824;7318;0,8
1400;14671;7822;0,10
1500;15633;8390;0,10
1600;16579;9037;0,10
1700;17735;9607;0,12
1800;18777;10281;0,10
1900;19825;11013;0,15
2000;21313;11652;0,14
2100;22375;12286;0,8
2200;23365;12975;0,16
2300;24631;13698;0,19
2400;25690;14459;0,16
2500;26891;15227;0,20
2600;30294;15922;0,18
2700;31183;16454;0,22
2800;32151;17046;0,20
2900;33347;17657;0,24
3000;34281;18287;0,23
3100;35321;18933;0,24
3200;36400;19720;0,29
3300;37855;20276;0,30
3400;38895;20932;0,27
3500;39939;21660;0,25
3600;41170;22372;0,29
3700;42357;23127;0,29
3800;43443;23909;0,31
3900;45628;24609;0,30
4000;46598;25274;0,33
4100;47682;25923;0,32
4200;48954;26669;0,35
4300;49980;27380;0,34
4400;51145;28169;0,37
4500;52831;28962;0,36
4600;53852;29678;0,40
4700;55030;30466;0,43
4800;56165;31304;0,42
4900;57538;32085;0,34
5000;58773;32949;0,49
5100;60004;33866;0,42
5200;65869;34452;0,45
5300;66885;35012;0,46
5400;67776;35595;0,52
5500;68927;36198;0,45
5600;69899;36874;0,52
5700;71000;37546;0,52
5800;72517;38208;0,56
5900;73482;38861;0,54
6000;74510;39515;0,55
6100;75853;40289;0,49
6200;76855;40980;0,58
6300;78022;41743;0,55
6400;79151;42587;0,53
6500;81308;43213;0,58
6600;82316;43837;0,56
6700;83359;44568;0,61
6800;84587;45258;0,56
6900;85753;46001;0,67
7000;86856;46811;0,61
7100;88454;47537;0,64
7200;89541;48324;0,65
7300;90726;49094;0,61
7400;92056;49890;0,63
7500;93272;50785;0,66
7600;94481;51625;0,71
7700;98074;52504;0,68
7800;99070;53115;0,73
7900;100135;53776;0,67
8000;101205;54547;0,69
8100;102432;55176;0,77
8200;103588;55960;0,69
8300;104724;56786;0,80
8400;106280;57499;0,78
8500;107449;58231;0,70
8600;108561;59051;0,85
8700;109947;59889;0,85
8800;111088;60737;0,79
8900;112372;61585;0,72
9000;114713;62469;0,84
9100;115768;63195;0,69
9200;116910;63949;0,77
9300;118331;64798;0,84
9400;119443;65599;0,89
9500;120673;66443;0,89
9600;121945;67419;0,85
9700;123629;68197;0,89
9800;124864;69054;0,97
9900;126117;69995;0,90
10000;127514;70866;0,89
