"size";"compares";"swaps";"time"
100;2580;2486;0,0
200;10164;9969;0,3
300;22716;22422;0,7
400;40099;39706;0,12
500;62842;62349;0,16
600;90580;89987;0,23
700;123512;122819;0,32
800;160291;159498;0,43
900;202836;201943;0,53
1000;250366;249373;0,66
1100;303943;302851;0,77
1200;361003;359810;0,93
1300;423270;421978;1,8
1400;491781;490389;1,19
1500;564030;562538;1,41
1600;641561;639969;1,61
1700;722822;721130;1,87
1800;812801;811009;2,8
1900;903454;901562;2,29
2000;1003170;1001178;2,52
2100;1106071;1103979;2,79
2200;1211591;1209399;3,6
2300;1324567;1322275;3,37
2400;1442241;1439849;3,67
2500;1562210;1559719;3,96
2600;1691620;1689028;4,30
2700;1822729;1820037;4,63
2800;1961177;1958386;4,96
2900;2101636;2098744;5,29
3000;2252461;2249470;5,67
3100;2408695;2405604;6,12
3200;2561883;2558692;6,48
3300;2721921;2718630;6,88
3400;2895585;2892194;7,33
3500;3070102;3066610;7,83
3600;3235845;3232254;8,25
3700;3430452;3426761;8,56
3800;3609087;3605295;9,17
3900;3807759;3803867;9,68
4000;3996907;3992916;9,81
4100;4203229;4199138;10,16
4200;4412892;4408700;10,59
4300;4619774;4615483;11,11
4400;4841420;4837029;11,85
4500;5066342;5061850;12,25
4600;5287498;5282907;12,74
4700;5524374;5519683;13,34
4800;5766505;5761713;13,97
4900;6013876;6008984;14,50
5000;6255068;6250076;15,9
5100;6510110;6505019;15,59
5200;6768827;6763637;16,32
5300;7020131;7014841;16,92
5400;7301044;7295654;17,60
5500;7573358;7567867;18,33
5600;7825823;7820232;18,76
5700;8132074;8126382;19,51
5800;8411620;8405829;20,26
5900;8716681;8710790;20,94
6000;9011337;9005345;21,73
6100;9328384;9322293;22,50
6200;9616187;9609997;23,8
6300;9927162;9920871;23,87
6400;10250676;10244286;24,75
6500;10554224;10547733;25,42
6600;10897397;10890805;26,21
6700;11238155;11231464;27,0
6800;11571733;11564942;27,89
6900;11904842;11897951;28,67
7000;12257212;12250221;29,51
7100;12600220;12593129;30,30
7200;12970088;12962897;31,33
7300;13334328;13327037;32,20
7400;13686678;13679287;32,86
7500;14055796;14048305;33,85
7600;14455664;14448074;34,67
7700;14842582;14834891;35,79
7800;15215024;15207233;36,52
7900;15616176;15608285;37,57
8000;16005382;15997392;38,46
8100;16413212;16405122;39,54
8200;16813553;16805362;40,39
8300;17230370;17222080;41,56
8400;17616100;17607710;42,31
8500;18062821;18054330;43,89
8600;18495250;18486659;45,35
8700;18947674;18938983;45,86
8800;19371757;19362966;47,10
8900;19818598;19809707;47,93
9000;20246241;20237250;48,71
9100;20717191;20708100;50,18
9200;21170499;21161309;51,21
9300;21610863;21601572;52,29
9400;22087968;22078577;53,82
9500;22572939;22563449;54,67
9600;23046008;23036417;55,92
9700;23547471;23537782;56,92
9800;24024663;24014872;58,20
9900;24494766;24484876;59,32
10000;25041888;25031898;60,54
