"size";"compares";"swaps";"time"
10;24;18;0,0
50;259;160;0,0
100;643;386;0,0
500;4834;2674;0,4
1000;10961;5938;0,8
5000;74110;34841;0,47
10000;176536;72277;1,5
50000;1898458;372624;7,14
100000;6298567;746670;19,19
