"size";"compares";"swaps";"time"
10;24;18;0,0
50;259;164;0,0
100;651;393;0,0
500;4801;2737;0,3
1000;11019;6141;0,8
5000;71187;38258;0,47
10000;156158;82043;1,0
50000;974747;463572;5,68
100000;2226116;945946;12,29
