"size";"compares";"swaps";"time"
100;552;235;2,0
200;1319;635;4,0
300;2208;992;7,0
400;3038;1436;9,0
500;3845;1891;11,0
600;5028;2249;14,0
700;5888;2751;16,0
800;6892;3201;19,0
900;7833;3779;21,0
1000;8737;4324;24,0
1100;10449;4741;28,0
1200;11230;5143;30,0
1300;12312;5681;33,0
1400;13093;6167;35,0
1500;14111;6725;38,0
1600;15371;7228;40,0
1700;16300;7741;42,0
1800;17494;8375;45,0
1900;18394;8919;48,0
2000;19451;9620;49,0
2100;22281;10070;56,0
2200;23126;10599;60,0
2300;23911;11077;62,0
2400;24892;11488;64,0
2500;25933;12111;68,0
2600;27215;12603;69,0
2700;28093;13037;72,0
2800;29064;13703;75,0
2900;30187;14335;78,0
3000;31177;14845;80,0
3100;33110;15551;82,0
3200;34055;16126;86,0
3300;34962;16645;88,0
3400;36098;17228;90,0
3500;37138;17848;94,0
3600;38585;18556;96,0
3700;39443;19166;99,0
3800;40555;19740;100,0
3900;41767;20498;104,0
4000;42883;21171;107,0
4100;47234;22012;117,0
4200;48657;22348;119,0
4300;49573;22751;122,0
4400;50604;23394;125,0
4500;51536;23841;128,0
4600;52432;24417;131,0
4700;53712;24908;134,0
4800;54610;25492;136,0
4900;55832;26010;139,0
5000;56781;26634;144,0
5100;57854;27398;145,0
5200;59694;27931;147,0
5300;60581;28357;150,0
5400;61658;29033;154,0
5500;62586;29546;156,0
5600;63710;30254;159,0
5700;65130;30862;162,0
5800;66115;31436;165,0
5900;67396;32252;167,0
6000;68412;32907;170,0
6100;69569;33683;174,0
6200;72441;34192;177,0
6300;73385;34687;179,0
6400;74340;35268;183,0
6500;75423;35918;184,0
6600;76481;36591;187,0
6700;77942;37235;191,0
6800;78899;37850;192,0
6900;80067;38562;196,0
7000;81155;39210;199,0
7100;82272;40003;202,0
7200;84286;40715;205,0
7300;85304;41278;207,0
7400;86367;41971;211,0
7500;87514;42604;213,0
7600;88697;43529;216,0
7700;90231;44257;220,0
7800;91245;44807;222,0
7900;92458;45632;225,0
8000;93795;46463;228,0
8100;94892;47210;230,0
8200;104068;48034;248,0
8300;105034;48468;250,0
8400;105862;48878;253,0
8500;106855;49245;256,0
8600;107794;49887;260,0
8700;108706;50489;263,0
8800;109952;51033;266,0
8900;110915;51464;269,0
9000;112115;52115;272,0
9100;113089;52763;275,0
9200;114104;53460;277,0
9300;116013;53998;281,0
9400;116815;54495;284,0
9500;117939;54954;287,0
9600;118895;55649;290,0
9700;119975;56405;293,0
9800;121454;57180;296,0
9900;122441;57553;299,0
10000;123679;58324;301,0
