"size";"compares";"swaps";"time"
100;634;364;0,20
100;626;355;0,10
100;635;361;0,10
100;598;337;0,10
100;650;378;0,10
100;627;359;0,10
100;651;377;0,10
100;633;368;0,10
100;651;377;0,10
100;660;395;0,10
200;1452;804;0,30
200;1445;792;0,20
200;1482;833;0,30
200;1494;838;0,30
200;1539;893;0,30
200;1482;861;0,20
200;1460;825;0,20
200;1476;831;0,30
200;1479;833;0,30
200;1460;825;0,20
300;2245;1284;0,40
300;2349;1409;0,40
300;2300;1357;0,30
300;2324;1376;0,30
300;2306;1358;0,40
300;2337;1383;0,40
300;2271;1318;0,40
300;2371;1414;0,40
300;2352;1390;0,40
300;2268;1326;0,30
400;3315;1838;0,50
400;3348;1855;0,60
400;3376;1901;0,60
400;3378;1894;0,60
400;3361;1876;0,60
400;3346;1874;0,60
400;3279;1783;0,60
400;3313;1841;0,60
400;3332;1839;0,60
400;3379;1901;0,60
500;4363;2440;0,70
500;4307;2384;0,80
500;4345;2439;0,80
500;4340;2421;0,70
500;4339;2445;0,70
500;4291;2370;0,70
500;4335;2421;0,80
500;4300;2384;0,70
500;4317;2409;0,70
500;4377;2494;0,70
600;5187;2995;0,90
600;5227;3009;0,80
600;5227;3023;0,90
600;5229;3049;0,90
600;5264;3070;0,90
600;5309;3099;0,90
600;5193;2984;0,80
600;5266;3066;0,90
600;5167;2959;0,90
600;5189;2979;0,80
700;6574;3554;1,10
700;6580;3539;1,10
700;6644;3570;1,10
700;6678;3594;1,10
700;6686;3602;1,19
700;6603;3539;1,19
700;6678;3597;1,19
700;6562;3523;1,19
700;6599;3509;1,10
700;6638;3561;1,10
800;7409;4048;1,50
800;7483;4135;1,30
800;7522;4170;1,30
800;7464;4072;1,30
800;7409;4019;1,30
800;7409;4046;1,30
800;7522;4171;1,30
800;7501;4131;1,30
800;7406;4053;1,30
800;7598;4235;1,39
900;8533;4737;1,50
900;8546;4739;1,50
900;8512;4725;1,80
900;8546;4759;1,50
900;8407;4618;1,50
900;8414;4587;1,50
900;8484;4664;1,50
900;8510;4693;1,70
900;8421;4643;1,50
900;8542;4723;1,50
1000;9620;5313;1,60
1000;9533;5245;1,70
1000;9697;5376;1,60
1000;9694;5391;1,70
1000;9581;5279;1,60
1000;9725;5383;1,60
1000;9641;5326;1,70
1000;9747;5422;1,60
1000;9648;5313;1,60
1000;9566;5266;1,70
1100;10564;5917;1,80
1100;10603;5954;1,80
1100;10552;5887;1,80
1100;10603;5983;1,80
1100;10613;5957;1,80
1100;10611;5954;1,80
1100;10611;5991;1,80
1100;10514;5844;1,70
1100;10686;6042;1,80
1100;10584;5955;1,80
1200;11595;6606;2,0
1200;11657;6652;2,0
1200;11664;6631;2,0
1200;11649;6641;1,90
1200;11646;6655;2,0
1200;11652;6611;2,0
1200;11758;6732;2,0
1200;11741;6735;2,0
1200;11602;6557;1,90
1200;11659;6648;2,0
1300;13647;7201;2,29
1300;13937;7390;2,29
1300;13812;7263;2,39
1300;13822;7363;2,39
1300;13898;7369;2,39
1300;13874;7379;2,29
